GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1151672324,SushiGo,3,GAME_OVER,60,0,2,29,2,mcts,2,1,1,SushiBasicMCTS,mcts,59.0,69.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-2068663947,SushiGo,3,GAME_OVER,62,0,2,30,2,mcts,2,1,1,SushiBasicMCTS,mcts,61.0,73.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-851224625,SushiGo,3,GAME_OVER,62,0,2,31,2,mcts,2,1,1,SushiBasicMCTS,mcts,49.0,59.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1666329463,SushiGo,3,GAME_OVER,62,0,2,32,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,83.0,67.0,mcts,mcts,SushiBasicMCTS,1
-1628792018,SushiGo,3,GAME_OVER,60,0,2,33,2,mcts,2,1,1,SushiBasicMCTS,mcts,46.0,55.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1874295276,SushiGo,3,GAME_OVER,61,0,2,34,2,mcts,2,1,1,SushiBasicMCTS,mcts,50.0,58.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1711483556,SushiGo,3,GAME_OVER,61,0,2,35,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,66.0,56.0,mcts,mcts,SushiBasicMCTS,1
-1151674753,SushiGo,3,GAME_OVER,62,0,2,36,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,82.0,62.0,mcts,mcts,SushiBasicMCTS,1
1571825986,SushiGo,3,GAME_OVER,61,0,2,37,2,mcts,2,1,1,SushiBasicMCTS,mcts,52.0,65.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1713810625,SushiGo,3,GAME_OVER,60,0,2,38,2,mcts,2,1,1,SushiBasicMCTS,mcts,62.0,74.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1707315021,SushiGo,3,GAME_OVER,60,0,2,39,2,mcts,2,1,1,SushiBasicMCTS,mcts,40.0,51.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1171586816,SushiGo,3,GAME_OVER,60,0,2,40,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,67.0,43.0,mcts,mcts,SushiBasicMCTS,1
-282320098,SushiGo,3,GAME_OVER,65,0,2,41,2,mcts,2,1,1,SushiBasicMCTS,mcts,54.0,75.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1931227396,SushiGo,3,GAME_OVER,61,0,2,42,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,44.0,46.0,mcts,mcts,SushiBasicMCTS,0
1104125001,SushiGo,3,GAME_OVER,60,0,2,43,2,mcts,2,1,1,SushiBasicMCTS,mcts,53.0,67.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-2009345545,SushiGo,3,GAME_OVER,60,0,2,44,1,mcts,1,2,2,SushiBasicMCTS,mcts,48.0,48.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-650029823,SushiGo,3,GAME_OVER,61,0,2,45,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,69.0,52.0,mcts,mcts,SushiBasicMCTS,1
733305451,SushiGo,3,GAME_OVER,61,0,2,46,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,73.0,54.0,mcts,mcts,SushiBasicMCTS,1
1374170554,SushiGo,3,GAME_OVER,61,0,2,47,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,72.0,53.0,mcts,mcts,SushiBasicMCTS,1
931981473,SushiGo,3,GAME_OVER,61,0,2,48,2,mcts,2,1,1,SushiBasicMCTS,mcts,57.0,72.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1809021168,SushiGo,3,GAME_OVER,60,0,2,49,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,54.0,53.0,mcts,mcts,SushiBasicMCTS,1
-1262638840,SushiGo,3,GAME_OVER,63,0,2,50,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,47.0,48.0,mcts,mcts,SushiBasicMCTS,0
-1317964313,SushiGo,3,GAME_OVER,66,0,2,51,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,46.0,71.0,mcts,mcts,SushiBasicMCTS,0
385458435,SushiGo,3,GAME_OVER,60,0,2,52,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,61.0,55.0,mcts,mcts,SushiBasicMCTS,1
-1121282606,SushiGo,3,GAME_OVER,62,0,2,53,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,50.0,52.0,mcts,mcts,SushiBasicMCTS,0
1448403439,SushiGo,3,GAME_OVER,60,0,2,54,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,52.0,62.0,mcts,mcts,SushiBasicMCTS,0
-174973512,SushiGo,3,GAME_OVER,62,0,2,55,2,mcts,2,1,1,SushiBasicMCTS,mcts,51.0,56.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-868063132,SushiGo,3,GAME_OVER,60,0,2,56,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,61.0,45.0,mcts,mcts,SushiBasicMCTS,1
-778495307,SushiGo,3,GAME_OVER,60,0,2,57,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,72.0,67.0,mcts,mcts,SushiBasicMCTS,1
-1293341766,SushiGo,3,GAME_OVER,60,0,2,58,1,mcts,1,1,1,SushiBasicMCTS,mcts,41.0,41.0,SushiBasicMCTS,SushiBasicMCTS,mcts,-1
786822461,SushiGo,3,GAME_OVER,61,0,2,59,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,62.0,54.0,mcts,mcts,SushiBasicMCTS,1
826024398,SushiGo,3,GAME_OVER,62,0,2,60,1,mcts,1,2,2,SushiBasicMCTS,mcts,68.0,62.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
1901307015,SushiGo,3,GAME_OVER,60,0,2,61,2,mcts,2,1,1,SushiBasicMCTS,mcts,62.0,69.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-743949563,SushiGo,3,GAME_OVER,60,0,2,62,2,mcts,2,1,1,SushiBasicMCTS,mcts,48.0,63.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
530986024,SushiGo,3,GAME_OVER,61,0,2,63,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,53.0,53.0,mcts,mcts,SushiBasicMCTS,1
1289198224,SushiGo,3,GAME_OVER,60,0,2,64,2,mcts,2,1,1,SushiBasicMCTS,mcts,44.0,56.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
2102362109,SushiGo,3,GAME_OVER,61,0,2,65,2,mcts,2,1,1,SushiBasicMCTS,mcts,49.0,63.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-63336719,SushiGo,3,GAME_OVER,61,0,2,66,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,49.0,61.0,mcts,mcts,SushiBasicMCTS,0
157895246,SushiGo,3,GAME_OVER,61,0,2,67,2,mcts,2,1,1,SushiBasicMCTS,mcts,50.0,57.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1693650622,SushiGo,3,GAME_OVER,62,0,2,68,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,68.0,57.0,mcts,mcts,SushiBasicMCTS,1
1169690671,SushiGo,3,GAME_OVER,62,0,2,69,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,75.0,51.0,mcts,mcts,SushiBasicMCTS,1
-539771483,SushiGo,3,GAME_OVER,63,0,2,70,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,52.0,64.0,mcts,mcts,SushiBasicMCTS,0
-136560599,SushiGo,3,GAME_OVER,64,0,2,71,1,mcts,1,2,2,SushiBasicMCTS,mcts,73.0,60.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
304594351,SushiGo,3,GAME_OVER,62,0,2,72,2,mcts,2,1,1,SushiBasicMCTS,mcts,42.0,43.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1628288794,SushiGo,3,GAME_OVER,62,0,2,73,1,mcts,1,2,2,SushiBasicMCTS,mcts,54.0,50.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
1107218632,SushiGo,3,GAME_OVER,60,0,2,74,2,mcts,2,1,1,SushiBasicMCTS,mcts,49.0,64.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-132667559,SushiGo,3,GAME_OVER,62,0,2,75,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,71.0,56.0,mcts,mcts,SushiBasicMCTS,1
1929743998,SushiGo,3,GAME_OVER,61,0,2,76,1,mcts,1,2,2,SushiBasicMCTS,mcts,47.0,45.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1274458595,SushiGo,3,GAME_OVER,60,0,2,77,1,mcts,1,2,2,SushiBasicMCTS,mcts,63.0,60.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
1167438345,SushiGo,3,GAME_OVER,61,0,2,78,2,mcts,2,1,1,SushiBasicMCTS,mcts,58.0,60.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1047665438,SushiGo,3,GAME_OVER,61,0,2,79,2,mcts,2,1,1,SushiBasicMCTS,mcts,59.0,73.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
409912459,SushiGo,3,GAME_OVER,63,0,2,80,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,56.0,52.0,mcts,mcts,SushiBasicMCTS,1
-1471795588,SushiGo,3,GAME_OVER,60,0,2,81,1,mcts,1,2,2,SushiBasicMCTS,mcts,55.0,48.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1395087464,SushiGo,3,GAME_OVER,60,0,2,82,2,mcts,2,1,1,SushiBasicMCTS,mcts,58.0,71.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-688762656,SushiGo,3,GAME_OVER,61,0,2,83,1,mcts,1,2,2,SushiBasicMCTS,mcts,65.0,62.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
151372791,SushiGo,3,GAME_OVER,60,0,2,84,2,mcts,2,1,1,SushiBasicMCTS,mcts,57.0,68.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1913337376,SushiGo,3,GAME_OVER,61,0,2,85,2,mcts,2,1,1,SushiBasicMCTS,mcts,51.0,52.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
362995882,SushiGo,3,GAME_OVER,62,0,2,86,2,mcts,2,1,1,SushiBasicMCTS,mcts,55.0,69.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
516077736,SushiGo,3,GAME_OVER,60,0,2,87,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,52.0,49.0,mcts,mcts,SushiBasicMCTS,1
1172235819,SushiGo,3,GAME_OVER,63,0,2,88,2,mcts,2,1,1,SushiBasicMCTS,mcts,57.0,58.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1424502059,SushiGo,3,GAME_OVER,61,0,2,89,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,48.0,52.0,mcts,mcts,SushiBasicMCTS,0
-854257160,SushiGo,3,GAME_OVER,61,0,2,90,2,mcts,2,1,1,SushiBasicMCTS,mcts,50.0,68.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-280449628,SushiGo,3,GAME_OVER,60,0,2,91,1,mcts,1,2,2,SushiBasicMCTS,mcts,63.0,58.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1897374127,SushiGo,3,GAME_OVER,63,0,2,92,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,91.0,58.0,mcts,mcts,SushiBasicMCTS,1
-1995573941,SushiGo,3,GAME_OVER,62,0,2,93,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,58.0,50.0,mcts,mcts,SushiBasicMCTS,1
776413760,SushiGo,3,GAME_OVER,62,0,2,94,2,mcts,2,1,1,SushiBasicMCTS,mcts,62.0,77.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
364983974,SushiGo,3,GAME_OVER,60,0,2,95,1,mcts,1,2,2,SushiBasicMCTS,mcts,61.0,61.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1044763175,SushiGo,3,GAME_OVER,62,0,2,96,2,mcts,2,1,1,SushiBasicMCTS,mcts,59.0,61.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1486217450,SushiGo,3,GAME_OVER,63,0,2,97,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,59.0,53.0,mcts,mcts,SushiBasicMCTS,1
-1613568317,SushiGo,3,GAME_OVER,63,0,2,98,2,mcts,2,1,1,SushiBasicMCTS,mcts,53.0,62.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
1820677798,SushiGo,3,GAME_OVER,61,0,2,99,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,59.0,48.0,mcts,mcts,SushiBasicMCTS,1
297806070,SushiGo,3,GAME_OVER,61,0,2,100,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,60.0,66.0,mcts,mcts,SushiBasicMCTS,0
-648259474,SushiGo,3,GAME_OVER,60,0,2,101,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,62.0,52.0,mcts,mcts,SushiBasicMCTS,1
743043013,SushiGo,3,GAME_OVER,60,0,2,102,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,45.0,48.0,mcts,mcts,SushiBasicMCTS,0
-1386746564,SushiGo,3,GAME_OVER,61,0,2,103,1,mcts,1,2,2,SushiBasicMCTS,mcts,52.0,51.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-2064643297,SushiGo,3,GAME_OVER,61,0,2,104,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,54.0,65.0,mcts,mcts,SushiBasicMCTS,0
959261808,SushiGo,3,GAME_OVER,61,0,2,105,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,59.0,46.0,mcts,mcts,SushiBasicMCTS,1
1642620177,SushiGo,3,GAME_OVER,60,0,2,106,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,49.0,59.0,mcts,mcts,SushiBasicMCTS,0
-564189401,SushiGo,3,GAME_OVER,60,0,2,107,1,mcts,1,2,2,SushiBasicMCTS,mcts,81.0,67.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1803707506,SushiGo,3,GAME_OVER,60,0,2,108,2,mcts,2,1,1,SushiBasicMCTS,mcts,54.0,60.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-879910502,SushiGo,3,GAME_OVER,60,0,2,109,1,mcts,1,2,2,SushiBasicMCTS,mcts,54.0,54.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1642663310,SushiGo,3,GAME_OVER,61,0,2,110,2,mcts,2,1,1,SushiBasicMCTS,mcts,76.0,83.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
229342920,SushiGo,3,GAME_OVER,60,0,2,111,2,mcts,2,1,1,SushiBasicMCTS,mcts,51.0,67.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1925258812,SushiGo,3,GAME_OVER,60,0,2,112,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,64.0,66.0,mcts,mcts,SushiBasicMCTS,0
-1564622253,SushiGo,3,GAME_OVER,63,0,2,113,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,64.0,55.0,mcts,mcts,SushiBasicMCTS,1
697156667,SushiGo,3,GAME_OVER,61,0,2,114,2,mcts,2,1,1,SushiBasicMCTS,mcts,56.0,59.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-378647385,SushiGo,3,GAME_OVER,61,0,2,115,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,59.0,49.0,mcts,mcts,SushiBasicMCTS,1
1337092611,SushiGo,3,GAME_OVER,62,0,2,116,1,mcts,1,2,2,SushiBasicMCTS,mcts,61.0,59.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1882475167,SushiGo,3,GAME_OVER,61,0,2,117,1,mcts,1,2,2,SushiBasicMCTS,mcts,69.0,64.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1842703424,SushiGo,3,GAME_OVER,62,0,2,118,2,mcts,2,1,1,SushiBasicMCTS,mcts,59.0,67.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-1522407443,SushiGo,3,GAME_OVER,60,0,2,119,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,56.0,57.0,mcts,mcts,SushiBasicMCTS,0
1540987347,SushiGo,3,GAME_OVER,62,0,2,120,1,mcts,1,2,2,SushiBasicMCTS,mcts,57.0,47.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
913139313,SushiGo,3,GAME_OVER,61,0,2,121,2,mcts,2,1,1,SushiBasicMCTS,mcts,56.0,68.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
2144060379,SushiGo,3,GAME_OVER,61,0,2,122,2,mcts,2,1,1,SushiBasicMCTS,mcts,48.0,56.0,SushiBasicMCTS,SushiBasicMCTS,mcts,0
-2027596055,SushiGo,3,GAME_OVER,64,0,2,123,1,SushiBasicMCTS,1,2,2,mcts,SushiBasicMCTS,68.0,55.0,mcts,mcts,SushiBasicMCTS,1
-1453779842,SushiGo,3,GAME_OVER,60,0,2,124,1,mcts,1,2,2,SushiBasicMCTS,mcts,55.0,51.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
-1506361710,SushiGo,3,GAME_OVER,61,0,2,125,2,SushiBasicMCTS,2,1,1,mcts,SushiBasicMCTS,75.0,81.0,mcts,mcts,SushiBasicMCTS,0
-641561240,SushiGo,3,GAME_OVER,63,0,2,126,1,mcts,1,2,2,SushiBasicMCTS,mcts,68.0,57.0,SushiBasicMCTS,SushiBasicMCTS,mcts,1
