GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-175367348,CantStop,0,GAME_OVER,120,37,2,37,rmhc,4.0,0.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
1362911089,CantStop,0,GAME_OVER,198,50,2,38,rmhc,2.0,5.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-347120262,CantStop,0,GAME_OVER,128,43,2,39,rmhc,3.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
1416514647,CantStop,0,GAME_OVER,106,30,2,40,rmhc,2.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-1570736736,CantStop,0,GAME_OVER,171,59,2,41,rmhc,4.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1532681659,CantStop,0,GAME_OVER,216,48,2,42,rmhc,2.0,5.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
2038358424,CantStop,0,GAME_OVER,118,25,2,43,rmhc,3.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
1950377550,CantStop,0,GAME_OVER,111,34,2,44,rmhc,1.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-389679841,CantStop,0,GAME_OVER,231,66,2,45,rmhc,2.0,5.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-1652369011,CantStop,0,GAME_OVER,203,72,2,46,rmhc,2.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
649728961,CantStop,0,GAME_OVER,154,54,2,47,rmhc,1.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1939385821,CantStop,0,GAME_OVER,181,56,2,48,rmhc,2.0,3.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
-765151654,CantStop,0,GAME_OVER,180,33,2,49,rmhc,5.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-382843140,CantStop,0,GAME_OVER,142,37,2,50,rmhc,3.0,2.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
1616233144,CantStop,0,GAME_OVER,113,39,2,51,rmhc,4.0,1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
346665430,CantStop,0,GAME_OVER,94,28,2,52,rhea,1.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
879079583,CantStop,0,GAME_OVER,139,44,2,53,rhea,0.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-619666105,CantStop,0,GAME_OVER,105,27,2,54,rhea,3.0,1.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
503938916,CantStop,0,GAME_OVER,164,44,2,55,rhea,0.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-428737539,CantStop,0,GAME_OVER,81,22,2,56,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1745970416,CantStop,0,GAME_OVER,164,46,2,57,rhea,2.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1436161366,CantStop,0,GAME_OVER,170,42,2,58,rhea,1.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1151041315,CantStop,0,GAME_OVER,88,22,2,59,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
697067980,CantStop,0,GAME_OVER,134,33,2,60,rhea,3.0,1.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
1168140970,CantStop,0,GAME_OVER,166,38,2,61,rhea,2.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1491060889,CantStop,0,GAME_OVER,169,42,2,62,rhea,2.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1819802610,CantStop,0,GAME_OVER,167,48,2,63,rhea,1.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-2121274456,CantStop,0,GAME_OVER,65,14,2,64,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
259280696,CantStop,0,GAME_OVER,142,36,2,65,rhea,2.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
1706137030,CantStop,0,GAME_OVER,101,26,2,66,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
545138396,CantStop,0,GAME_OVER,134,28,2,67,rhea,1.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
1376458976,CantStop,0,GAME_OVER,132,41,2,68,rhea,4.0,0.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
1195311045,CantStop,0,GAME_OVER,145,49,2,69,rhea,3.0,0.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
813477029,CantStop,0,GAME_OVER,133,30,2,70,rhea,2.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1466178614,CantStop,0,GAME_OVER,153,36,2,71,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-118322159,CantStop,0,GAME_OVER,124,39,2,72,rhea,4.0,1.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
-1428166355,CantStop,0,GAME_OVER,220,47,2,73,rhea,3.0,2.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
1144294523,CantStop,0,GAME_OVER,140,40,2,74,rhea,2.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
2100098225,CantStop,0,GAME_OVER,143,47,2,75,rhea,3.0,2.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
23994827,CantStop,0,GAME_OVER,160,61,2,76,rhea,3.0,1.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
1662792176,CantStop,0,GAME_OVER,67,12,2,77,rhea,0.0,3.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
2013120665,CantStop,0,GAME_OVER,140,36,2,78,rhea,1.0,5.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1880183632,CantStop,0,GAME_OVER,106,30,2,79,rhea,1.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1377239692,CantStop,0,GAME_OVER,309,61,2,80,rhea,5.0,1.0,rmhc,1,rhea,1,2,2,rmhc,rmhc,rhea,1
1795532617,CantStop,0,GAME_OVER,111,28,2,81,rhea,1.0,5.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-1548656463,CantStop,0,GAME_OVER,191,40,2,82,rhea,1.0,4.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
