GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1113178468,Connect4,3,GAME_OVER,8,1,2,36,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-175367348,Connect4,3,GAME_OVER,8,1,2,37,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1362911089,Connect4,4,GAME_OVER,10,1,2,38,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-347120262,Connect4,3,GAME_OVER,8,1,2,39,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1416514647,Connect4,3,GAME_OVER,7,0,2,40,2,Random,2,1,1,FirstAction,Random,-1.0,1.0,FirstAction,FirstAction,Random,0
-1570736736,Connect4,3,GAME_OVER,8,1,2,41,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1532681659,Connect4,9,GAME_OVER,19,0,2,42,2,Random,2,1,1,FirstAction,Random,-1.0,1.0,FirstAction,FirstAction,Random,0
2038358424,Connect4,3,GAME_OVER,8,1,2,43,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1950377550,Connect4,3,GAME_OVER,8,1,2,44,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-389679841,Connect4,5,GAME_OVER,12,1,2,45,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1652369011,Connect4,3,GAME_OVER,8,1,2,46,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
649728961,Connect4,4,GAME_OVER,10,1,2,47,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1939385821,Connect4,3,GAME_OVER,8,1,2,48,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-765151654,Connect4,3,GAME_OVER,8,1,2,49,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-382843140,Connect4,3,GAME_OVER,8,1,2,50,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1616233144,Connect4,5,GAME_OVER,12,1,2,51,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1825767405,Connect4,3,GAME_OVER,8,1,2,52,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1681345762,Connect4,4,GAME_OVER,10,1,2,53,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1466223696,Connect4,5,GAME_OVER,12,1,2,54,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-898042700,Connect4,3,GAME_OVER,8,1,2,55,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-622095176,Connect4,3,GAME_OVER,8,1,2,56,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1621553363,Connect4,3,GAME_OVER,8,1,2,57,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
2021511387,Connect4,3,GAME_OVER,8,1,2,58,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1677040338,Connect4,5,GAME_OVER,12,1,2,59,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1955989905,Connect4,3,GAME_OVER,8,1,2,60,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1876231119,Connect4,3,GAME_OVER,8,1,2,61,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1294795098,Connect4,3,GAME_OVER,8,1,2,62,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
127372284,Connect4,3,GAME_OVER,8,1,2,63,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-991207967,Connect4,3,GAME_OVER,8,1,2,64,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1049258221,Connect4,3,GAME_OVER,8,1,2,65,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-2039767727,Connect4,3,GAME_OVER,8,1,2,66,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1908179359,Connect4,3,GAME_OVER,8,1,2,67,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
1115136563,Connect4,3,GAME_OVER,8,1,2,68,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-1493045323,Connect4,3,GAME_OVER,8,1,2,69,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-394703714,Connect4,3,GAME_OVER,8,1,2,70,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
-432712488,Connect4,3,GAME_OVER,8,1,2,71,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
491282519,Connect4,3,GAME_OVER,8,1,2,72,1,Random,1,2,2,FirstAction,Random,1.0,-1.0,FirstAction,FirstAction,Random,1
