GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-735314076,TicTacToe,0,GAME_OVER,5,4,2,2,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
381561601,TicTacToe,0,GAME_OVER,5,4,2,3,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1266940020,TicTacToe,0,GAME_OVER,5,4,2,4,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1583090904,TicTacToe,0,GAME_OVER,5,4,2,5,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-440339883,TicTacToe,0,GAME_OVER,5,4,2,6,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1809225371,TicTacToe,0,GAME_OVER,9,8,2,7,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1904379176,TicTacToe,0,GAME_OVER,5,4,2,8,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1774121248,TicTacToe,0,GAME_OVER,5,4,2,9,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1485278966,TicTacToe,0,GAME_OVER,5,4,2,10,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1634714344,TicTacToe,0,GAME_OVER,5,4,2,11,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
2029551168,TicTacToe,0,GAME_OVER,5,4,2,12,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
907063665,TicTacToe,0,GAME_OVER,5,4,2,13,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
393700690,TicTacToe,0,GAME_OVER,5,4,2,14,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-2792463,TicTacToe,0,GAME_OVER,5,4,2,15,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-904924941,TicTacToe,0,GAME_OVER,5,4,2,16,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
952741204,TicTacToe,0,GAME_OVER,5,4,2,17,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
605184779,TicTacToe,0,GAME_OVER,5,4,2,18,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1130020693,TicTacToe,0,GAME_OVER,5,4,2,19,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
324735511,TicTacToe,0,GAME_OVER,5,4,2,20,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1358539483,TicTacToe,0,GAME_OVER,5,4,2,21,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1909715097,TicTacToe,0,GAME_OVER,5,4,2,22,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
408061277,TicTacToe,0,GAME_OVER,5,4,2,23,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1285768851,TicTacToe,0,GAME_OVER,5,4,2,24,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1084093440,TicTacToe,0,GAME_OVER,7,6,2,25,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1994388654,TicTacToe,0,GAME_OVER,5,4,2,26,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
58700144,TicTacToe,0,GAME_OVER,7,6,2,27,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
