GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
2679166,DotsAndBoxes,0,GAME_OVER,82,47,2,2,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1129926826,DotsAndBoxes,0,GAME_OVER,82,48,2,3,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1139870355,DotsAndBoxes,0,GAME_OVER,82,47,2,4,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
249537997,DotsAndBoxes,0,GAME_OVER,82,48,2,5,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
942547745,DotsAndBoxes,0,GAME_OVER,82,48,2,6,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
993364395,DotsAndBoxes,0,GAME_OVER,82,48,2,7,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1025948380,DotsAndBoxes,0,GAME_OVER,82,48,2,8,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1866271846,DotsAndBoxes,0,GAME_OVER,82,47,2,9,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-319527795,DotsAndBoxes,0,GAME_OVER,82,47,2,10,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1757188815,DotsAndBoxes,0,GAME_OVER,82,48,2,11,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
623511402,DotsAndBoxes,0,GAME_OVER,82,47,2,12,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1931639468,DotsAndBoxes,0,GAME_OVER,82,48,2,13,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1535393026,DotsAndBoxes,0,GAME_OVER,82,47,2,14,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1383304140,DotsAndBoxes,0,GAME_OVER,82,47,2,15,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
668771124,DotsAndBoxes,0,GAME_OVER,82,48,2,16,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1754942231,DotsAndBoxes,0,GAME_OVER,82,48,2,17,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-614340570,DotsAndBoxes,0,GAME_OVER,82,48,2,18,BasicMCTS,26.0,9.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
865502879,DotsAndBoxes,0,GAME_OVER,82,48,2,19,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-858416194,DotsAndBoxes,0,GAME_OVER,82,47,2,20,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1112693957,DotsAndBoxes,0,GAME_OVER,82,47,2,21,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
958009954,DotsAndBoxes,0,GAME_OVER,82,49,2,22,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
927120816,DotsAndBoxes,0,GAME_OVER,82,48,2,23,BasicMCTS,26.0,9.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1370707638,DotsAndBoxes,0,GAME_OVER,82,47,2,24,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1290139807,DotsAndBoxes,0,GAME_OVER,82,47,2,25,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1738599470,DotsAndBoxes,0,GAME_OVER,82,47,2,26,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
445351988,DotsAndBoxes,0,GAME_OVER,82,48,2,27,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1405621613,DotsAndBoxes,0,GAME_OVER,82,47,2,28,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1009982651,DotsAndBoxes,0,GAME_OVER,82,47,2,29,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
391243483,DotsAndBoxes,0,GAME_OVER,82,48,2,30,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
868200658,DotsAndBoxes,0,GAME_OVER,82,48,2,31,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1381370146,DotsAndBoxes,0,GAME_OVER,82,47,2,32,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
2138064865,DotsAndBoxes,0,GAME_OVER,82,47,2,33,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1347744641,DotsAndBoxes,0,GAME_OVER,82,47,2,34,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-916778360,DotsAndBoxes,0,GAME_OVER,82,49,2,35,BasicMCTS,35.0,0.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-2026580336,DotsAndBoxes,0,GAME_OVER,82,47,2,36,BasicMCTS,25.0,10.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1655726973,DotsAndBoxes,0,GAME_OVER,82,48,2,37,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
958889260,DotsAndBoxes,0,GAME_OVER,82,47,2,38,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1954193360,DotsAndBoxes,0,GAME_OVER,82,49,2,39,BasicMCTS,35.0,0.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
2106397187,DotsAndBoxes,0,GAME_OVER,82,47,2,40,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1111677640,DotsAndBoxes,0,GAME_OVER,82,48,2,41,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1440216221,DotsAndBoxes,0,GAME_OVER,82,48,2,42,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1352189954,DotsAndBoxes,0,GAME_OVER,82,48,2,43,BasicMCTS,22.0,13.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-591556905,DotsAndBoxes,0,GAME_OVER,82,47,2,44,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
494544922,DotsAndBoxes,0,GAME_OVER,82,47,2,45,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
610577354,DotsAndBoxes,0,GAME_OVER,82,48,2,46,BasicMCTS,26.0,9.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-80875797,DotsAndBoxes,0,GAME_OVER,82,47,2,47,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1256483934,DotsAndBoxes,0,GAME_OVER,82,47,2,48,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1442355787,DotsAndBoxes,0,GAME_OVER,82,47,2,49,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
14199837,DotsAndBoxes,0,GAME_OVER,82,48,2,50,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1837279959,DotsAndBoxes,0,GAME_OVER,82,47,2,51,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
617536002,DotsAndBoxes,0,GAME_OVER,82,48,2,52,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-443025331,DotsAndBoxes,0,GAME_OVER,82,47,2,53,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
549905762,DotsAndBoxes,0,GAME_OVER,82,48,2,54,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1419000971,DotsAndBoxes,0,GAME_OVER,82,47,2,55,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
536882677,DotsAndBoxes,0,GAME_OVER,82,47,2,56,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-297476663,DotsAndBoxes,0,GAME_OVER,82,48,2,57,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1433248416,DotsAndBoxes,0,GAME_OVER,82,48,2,58,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1354279490,DotsAndBoxes,0,GAME_OVER,82,47,2,59,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
2005020263,DotsAndBoxes,0,GAME_OVER,82,48,2,60,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1440851019,DotsAndBoxes,0,GAME_OVER,82,48,2,61,BasicMCTS,25.0,10.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1543828655,DotsAndBoxes,0,GAME_OVER,82,47,2,62,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-541064775,DotsAndBoxes,0,GAME_OVER,82,48,2,63,BasicMCTS,25.0,10.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-823327988,DotsAndBoxes,0,GAME_OVER,82,49,2,64,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1217744237,DotsAndBoxes,0,GAME_OVER,82,49,2,65,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
940946390,DotsAndBoxes,0,GAME_OVER,82,48,2,66,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-2106096579,DotsAndBoxes,0,GAME_OVER,82,48,2,67,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
157227888,DotsAndBoxes,0,GAME_OVER,82,48,2,68,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-2063097394,DotsAndBoxes,0,GAME_OVER,82,48,2,69,BasicMCTS,25.0,10.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1856958422,DotsAndBoxes,0,GAME_OVER,82,47,2,70,BasicMCTS,26.0,9.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
529973924,DotsAndBoxes,0,GAME_OVER,82,47,2,71,BasicMCTS,25.0,10.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
748833611,DotsAndBoxes,0,GAME_OVER,82,48,2,72,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1611774156,DotsAndBoxes,0,GAME_OVER,82,47,2,73,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
642364570,DotsAndBoxes,0,GAME_OVER,82,48,2,74,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1294703429,DotsAndBoxes,0,GAME_OVER,82,47,2,75,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
647354393,DotsAndBoxes,0,GAME_OVER,82,48,2,76,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-142034798,DotsAndBoxes,0,GAME_OVER,82,48,2,77,BasicMCTS,24.0,11.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-28218828,DotsAndBoxes,0,GAME_OVER,82,48,2,78,BasicMCTS,32.0,3.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1095880477,DotsAndBoxes,0,GAME_OVER,82,47,2,79,BasicMCTS,28.0,7.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1706249194,DotsAndBoxes,0,GAME_OVER,82,48,2,80,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
